Roll No,Student Name,Section,School Name,Mathematics (Theory),Mathematics (Practical),Mathematics (Total),Science (Theory),Science (Practical),Science (Total),Social Science (Theory),Social Science (Practical),Social Science (Total),General Knowledge (Theory),General Knowledge (Practical),General Knowledge (Total),Computer Science (Theory),Computer Science (Practical),Computer Science (Total),Economics (Theory),Economics (Practical),Economics (Total),Grand Total (600),Percentage (%),Status
10A01,Sneha Patel,10th A,Ram Lal Anand School,58,8,66,48,19,67,62,12,74,40,11,51,77,7,84,42,15,57,399,66.5,PASS
10A02,Fatima Menon,10th A,Ram Lal Anand School,30,12,42,72,8,80,59,12,71,22,10,32,72,6,78,43,16,59,362,60.33,FAIL
10A03,Ishaan Kulkarni,10th A,Ram Lal Anand School,49,10,59,21,16,37,40,5,45,31,14,45,41,17,58,63,13,76,320,53.33,PASS
10A04,Meera Menon,10th A,Ram Lal Anand School,68,15,83,78,19,97,61,16,77,35,19,54,66,18,84,70,16,86,481,80.17,PASS
10A05,Ishaan Verma,10th A,Ram Lal Anand School,74,8,82,76,7,83,56,7,63,26,9,35,28,11,39,37,8,45,347,57.83,PASS
10A06,Krishna Das,10th A,Ram Lal Anand School,44,16,60,33,6,39,77,13,90,45,9,54,21,8,29,47,19,66,338,56.33,FAIL
10A07,Arjun Malhotra,10th A,Ram Lal Anand School,26,16,42,27,19,46,54,18,72,36,8,44,69,12,81,23,6,29,314,52.33,FAIL
10A08,Aditya Sharma,10th A,Ram Lal Anand School,25,10,35,61,8,69,73,17,90,37,14,51,63,6,69,29,18,47,361,60.17,PASS
10A09,Diya Gupta,10th A,Ram Lal Anand School,55,18,73,50,19,69,27,18,45,42,16,58,76,18,94,59,9,68,407,67.83,PASS
10A10,Fatima Sharma,10th A,Ram Lal Anand School,35,17,52,37,19,56,72,12,84,45,13,58,64,13,77,48,19,67,394,65.67,PASS
10A11,Diya Reddy,10th A,Ram Lal Anand School,64,5,69,44,11,55,28,12,40,20,16,36,27,12,39,30,7,37,276,46.0,PASS
10A12,Riya Das,10th A,Ram Lal Anand School,36,12,48,54,7,61,52,15,67,24,14,38,58,14,72,60,16,76,362,60.33,PASS
10A13,Kabir Bose,10th A,Ram Lal Anand School,26,13,39,27,16,43,53,5,58,67,11,78,42,18,60,43,9,52,330,55.0,PASS
10A14,Sai Das,10th A,Ram Lal Anand School,54,16,70,59,10,69,46,7,53,20,7,27,56,19,75,33,7,40,334,55.67,FAIL
10A15,Myra Das,10th A,Ram Lal Anand School,20,9,29,45,11,56,33,11,44,46,13,59,34,19,53,45,14,59,300,50.0,FAIL
10A16,Riya Malhotra,10th A,Ram Lal Anand School,32,7,39,51,11,62,68,8,76,51,8,59,49,9,58,42,11,53,347,57.83,PASS
10A17,Riya Singh,10th A,Ram Lal Anand School,64,19,83,62,17,79,55,17,72,51,11,62,78,7,85,41,16,57,438,73.0,PASS
10A18,Ishaan Joshi,10th A,Ram Lal Anand School,21,14,35,64,18,82,76,9,85,25,16,41,47,16,63,63,8,71,377,62.83,PASS
10A19,Vihaan Joshi,10th A,Ram Lal Anand School,49,18,67,30,14,44,74,16,90,44,11,55,52,5,57,76,15,91,404,67.33,PASS
10A20,Zara Joshi,10th A,Ram Lal Anand School,76,8,84,32,13,45,22,11,33,25,12,37,46,13,59,56,5,61,319,53.17,PASS
10A21,Krishna Nair,10th A,Ram Lal Anand School,70,14,84,63,12,75,34,15,49,73,12,85,60,8,68,68,18,86,447,74.5,PASS
10A22,Aarav Patel,10th A,Ram Lal Anand School,68,14,82,71,16,87,58,6,64,22,5,27,56,5,61,75,5,80,401,66.83,FAIL
10A23,Sai Menon,10th A,Ram Lal Anand School,78,5,83,21,6,27,47,10,57,42,9,51,51,5,56,20,7,27,301,50.17,FAIL
10A24,Krishna Chaudhary,10th A,Ram Lal Anand School,21,9,30,63,14,77,51,10,61,51,11,62,23,11,34,30,12,42,306,51.0,FAIL
10A25,Pooja Reddy,10th A,Ram Lal Anand School,78,5,83,57,12,69,24,8,32,53,10,63,41,15,56,67,5,72,375,62.5,FAIL
10A26,Aditya Bose,10th A,Ram Lal Anand School,28,16,44,78,10,88,35,17,52,22,8,30,78,8,86,38,14,52,352,58.67,FAIL
10A27,Krishna Singh,10th A,Ram Lal Anand School,22,19,41,38,8,46,51,11,62,71,13,84,52,12,64,58,6,64,361,60.17,PASS
10A28,Myra Chaudhary,10th A,Ram Lal Anand School,59,5,64,30,16,46,76,13,89,69,11,80,50,18,68,61,7,68,415,69.17,PASS
10A29,Meera Chaudhary,10th A,Ram Lal Anand School,26,16,42,35,14,49,67,13,80,71,16,87,68,6,74,20,18,38,370,61.67,PASS
10A30,Aarav Nair,10th A,Ram Lal Anand School,31,9,40,56,15,71,74,13,87,60,7,67,38,7,45,39,12,51,361,60.17,PASS
10A31,Rahul Bose,10th A,Ram Lal Anand School,73,12,85,52,12,64,71,15,86,68,12,80,55,10,65,59,8,67,447,74.5,PASS
10A32,Aditya Iyer,10th A,Ram Lal Anand School,54,18,72,44,7,51,44,17,61,37,18,55,37,6,43,73,7,80,362,60.33,PASS
10A33,Arjun Das,10th A,Ram Lal Anand School,35,17,52,60,8,68,52,8,60,52,18,70,40,8,48,75,12,87,385,64.17,PASS
10A34,Ishaan Gupta,10th A,Ram Lal Anand School,26,7,33,36,5,41,67,16,83,78,7,85,41,11,52,41,18,59,353,58.83,PASS
